'  Efg_pct',' Turnover_PCT',' orb_pct',' ft_rate',' class'
0.563927,0.205742,0.669439,0.272583,' win'
0.335616,0.30622,0.33264,0.313788,' loss'
0.374429,0.444976,0.54262,0.486529,' win'
0.440639,0.440191,0.588358,0.187005,' loss'
0.477169,0.315789,0.690229,0.285261,' win'
0.545662,0.511962,0.367983,0.323296,' loss'
0.582192,0.181818,0.446985,0.231379,' win'
0.429224,0.492823,0.577963,0.228209,' win'
0.287671,0.770335,0.492723,0.231379,' loss'
0.429224,0.4689,0.280665,0.358162,' loss'
0.579909,0.516746,0.417879,0.326466,' win'
0.372146,0.392344,0.232848,0.217116,' win'
0.260274,0.444976,0.422037,0.144216,' loss'
0.456621,0.320574,0.367983,0.378764,' loss'
0.582192,0.497608,0.536383,0.213946,' win'
0.547945,0.464115,0.449064,0.424723,' win'
0.267123,0.483254,0.509356,0.605388,' loss'
0.321918,0.923445,0.367983,0.475436,' loss'
0.616438,0.717703,0.474012,0.37401,' win'
0.481735,0.679426,0.320166,0.204437,' loss'
0.3379,0.258373,0.609148,0.236133,' win'
0.643836,0.4689,0.297297,0.320127,' win'
0.504566,0.363636,0.648649,0.226624,' loss'
0.408676,0.191388,0.469854,0.285261,' win'
0.579909,0.688995,0.422037,0.418384,' loss'
0.490868,0.339713,0.272349,0.320127,' win'
0.321918,0.449761,0.471933,0.26149,' loss'
0.518265,0.296651,0.297297,0.316957,' win'
0.36758,0.746411,0.195426,0.405705,' loss'
0.56621,0.440191,0.247401,0.153724,' win'
0.589041,0.650718,0.120582,0.361331,' loss'
0.442922,0.555024,0.357588,0.226624,' win'
0.319635,0.598086,0.471933,0.250396,' loss'
0.369863,0.167464,0.178794,0.399366,' win'
0.321918,0.444976,0.380457,0.475436,' loss'
0.415525,0.368421,0.484407,0.399366,' loss'
0.488584,0.421053,0.54262,0.518225,' win'
0.474886,0.358852,0.621622,0.383518,' win'
0.477169,0.229665,0.301455,0.366086,' loss'
0.442922,0.583732,0.426195,0.345483,' loss'
0.541096,0.349282,0.328482,0.451664,' win'
0.335616,0.411483,0.37422,0.313788,' loss'
0.518265,0.382775,0.403326,0.247227,' win'
