Team, Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT,stl_PCT, blk_PCT, opp_Team, opp_Efg_pct, opp_Turnover_PCT, opp_orb_pct, opp_ft_rate, opp_ast_PCT,opp_stl_PCT, opp_blk_PCT, class
CLE,  .607,  9.3,  31.7,  .146,  away,  33.3,  9.7,  5.8, WAS, .645, 12.0, 13.9, .224,  73.8,  7.5,  1.7,  win
WAS, .645, 12.0, 13.9, .224,  home,  73.8,  7.5,  1.7, CLE,  .607,  9.3,  31.7,  .146,  33.3,  9.7,  5.8,  loss
BOS,  .383,  9.3,  26.3,  .173,  away,  48.6,  10.9,  4.2, CHI, .463, 13.6, 25.0, .149,  59.0,  4.0,  6.8,  loss
CHI, .463, 13.6, 25.0, .149,  home,  59.0,  4.0,  6.8, BOS,  .383,  9.3,  26.3,  .173,  48.6,  10.9,  4.2,  win
UTA,  .532,  18.2,  25.0,  .141,  away,  65.8,  9.9,  9.6, HOU, .567, 15.6, 30.6, .240,  38.5,  12.0,  6.0,  loss
HOU, .567, 15.6, 30.6, .240,  home,  38.5,  12.0,  6.0, UTA,  .532,  18.2,  25.0,  .141,  65.8,  9.9,  9.6,  win
ATL,  .603,  13.8,  32.6,  .163,  away,  73.5,  17.7,  8.8, PHI, .483, 18.5, 29.2, .174,  53.8,  8.8,  6.7,  win
PHI, .483, 18.5, 29.2, .174,  home,  53.8,  8.8,  6.7, ATL,  .603,  13.8,  32.6,  .163,  73.5,  17.7,  8.8,  loss
LAL,  .592,  16.9,  18.2,  .329,  away,  48.8,  10.1,  6.3, SAC, .588, 13.4, 27.0, .212,  68.1,  8.1,  11.5,  loss
SAC, .588, 13.4, 27.0, .212,  home,  68.1,  8.1,  11.5, LAL,  .592,  16.9,  18.2,  .329,  48.8,  10.1,  6.3,  win
ORL,  .476,  14.1,  29.5,  .048,  away,  75.8,  8.3,  7.8, BRK, .445, 15.5, 21.7, .164,  58.6,  4.7,  3.6,  win
BRK, .445, 15.5, 21.7, .164,  home,  58.6,  4.7,  3.6, ORL,  .476,  14.1,  29.5,  .048,  75.8,  8.3,  7.8,  loss
OKC,  .534,  11.5,  40.0,  .247,  away,  37.8,  8.6,  5.2, LAL, .530, 10.4, 25.6, .286,  47.5,  9.7,  6.9,  win
LAL, .530, 10.4, 25.6, .286,  home,  47.5,  9.7,  6.9, OKC,  .534,  11.5,  40.0,  .247,  37.8,  8.6,  5.2,  loss
DEN,  .391,  15.1,  37.3,  .184,  away,  59.4,  2.2,  6.3, MEM, .415, 6.8, 21.6, .280,  46.7,  11.2,  8.8,  loss
MEM, .415, 6.8, 21.6, .280,  home,  46.7,  11.2,  8.8, DEN,  .391,  15.1,  37.3,  .184,  59.4,  2.2,  6.3,  win
DAL,  .500,  14.9,  36.4,  .131,  away,  77.1,  6.8,  7.0, MIL, .488, 13.9, 36.6, .225,  64.9,  12.4,  10.0,  loss
MIL, .488, 13.9, 36.6, .225,  home,  64.9,  12.4,  10.0, DAL,  .500,  14.9,  36.4,  .131,  77.1,  6.8,  7.0,  win
CLE,  .611,  10.5,  27.8,  .321,  away,  53.5,  8.6,  7.9, MIN, .500, 11.7, 17.5, .253,  66.7,  8.6,  3.7,  win
MIN, .500, 11.7, 17.5, .253,  home,  66.7,  8.6,  3.7, CLE,  .611,  10.5,  27.8,  .321,  53.5,  8.6,  7.9,  loss
IND,  .475,  21.2,  32.6,  .173,  away,  58.3,  7.2,  13.0, NOP, .428, 14.0, 16.7, .181,  67.7,  21.7,  8.3,  win
NOP, .428, 14.0, 16.7, .181,  home,  67.7,  21.7,  8.3, IND,  .475,  21.2,  32.6,  .173,  58.3,  7.2,  13.0,  loss
MIA,  .541,  10.4,  16.2,  .329,  away,  63.9,  9.8,  8.8, PHO, .467, 12.5, 30.0, .098,  37.5,  5.5,  7.3,  win
PHO, .467, 12.5, 30.0, .098,  home,  37.5,  5.5,  7.3, MIA,  .541,  10.4,  16.2,  .329,  63.9,  9.8,  8.8,  loss
GSW,  .632,  13.5,  13.2,  .207,  away,  78.3,  5.8,  7.9, POR, .458, 7.7, 21.8, .208,  55.3,  11.6,  7.3,  win
POR, .458, 7.7, 21.8, .208,  home,  55.3,  11.6,  7.3, GSW,  .632,  13.5,  13.2,  .207,  78.3,  5.8,  7.9,  loss
NYK,  .467,  7.5,  21.3,  .154,  away,  50.0,  1.1,  5.0, SAS, .462, 7.4, 26.1, .151,  56.1,  5.3,  12.9,  loss
SAS, .462, 7.4, 26.1, .151,  home,  56.1,  5.3,  12.9, NYK,  .467,  7.5,  21.3,  .154,  50.0,  1.1,  5.0,  win
TOR,  .487,  20.3,  17.6,  .320,  away,  32.4,  7.0,  22.0, WAS, .440, 17.3, 14.6, .167,  54.5,  9.0,  14.8,  win
WAS, .440, 17.3, 14.6, .167,  home,  54.5,  9.0,  14.8, TOR,  .487,  20.3,  17.6,  .320,  32.4,  7.0,  22.0,  loss
CHI,  .476,  17.9,  27.3,  .313,  away,  44.4,  6.7,  8.6, ATL, .574, 13.0, 19.0, .128,  67.3,  14.4,  20.0,  loss
ATL, .574, 13.0, 19.0, .128,  home,  67.3,  14.4,  20.0, CHI,  .476,  17.9,  27.3,  .313,  44.4,  6.7,  8.6,  win
BRK,  .494,  13.9,  12.2,  .098,  away,  63.2,  5.3,  4.6, DET, .511, 8.4, 25.0, .098,  53.5,  10.7,  6.8,  loss
DET, .511, 8.4, 25.0, .098,  home,  53.5,  10.7,  6.8, BRK,  .494,  13.9,  12.2,  .098,  63.2,  5.3,  4.6,  win
CHO,  .411,  14.0,  24.4,  .167,  away,  45.2,  4.4,  5.0, LAC, .484, 8.6, 26.5, .099,  47.5,  6.6,  14.8,  loss
LAC, .484, 8.6, 26.5, .099,  home,  47.5,  6.6,  14.8, CHO,  .411,  14.0,  24.4,  .167,  45.2,  4.4,  5.0,  win
WAS,  .638,  15.7,  13.3,  .105,  away,  69.0,  11.3,  5.0, ORL, .547, 15.1, 32.4, .243,  57.9,  10.2,  3.8,  win
ORL, .547, 15.1, 32.4, .243,  home,  57.9,  10.2,  3.8, WAS,  .638,  15.7,  13.3,  .105,  69.0,  11.3,  5.0,  loss
TOR,  .580,  13.0,  18.8,  .280,  away,  46.3,  7.7,  11.1, PHI, .556, 13.1, 22.5, .075,  66.7,  10.0,  8.6,  win
PHI, .556, 13.1, 22.5, .075,  home,  66.7,  10.0,  8.6, TOR,  .580,  13.0,  18.8,  .280,  46.3,  7.7,  11.1,  loss
GSW,  .672,  16.1,  25.0,  .126,  away,  71.4,  4.8,  11.6, SAC, .511, 8.7, 15.2, .239,  62.8,  7.7,  6.0,  win
SAC, .511, 8.7, 15.2, .239,  home,  62.8,  7.7,  6.0, GSW,  .672,  16.1,  25.0,  .126,  71.4,  4.8,  11.6,  loss
MIA,  .451,  16.0,  31.9,  .110,  away,  41.2,  7.9,  15.7, UTA, .613, 16.9, 17.2, .155,  48.7,  11.3,  11.1,  loss
UTA, .613, 16.9, 17.2, .155,  home,  48.7,  11.3,  11.1, MIA,  .451,  16.0,  31.9,  .110,  41.2,  7.9,  15.7,  win
CHO,  .434,  11.4,  20.0,  .241,  away,  80.0,  6.6,  8.0, DEN, .494, 13.0, 20.5, .247,  78.1,  7.7,  14.9,  loss
DEN, .494, 13.0, 20.5, .247,  home,  78.1,  7.7,  14.9, CHO,  .434,  11.4,  20.0,  .241,  80.0,  6.6,  8.0,  win
IND,  .528,  16.0,  11.4,  .089,  away,  76.7,  11.2,  9.8, HOU, .517, 18.2, 22.7, .169,  61.5,  10.3,  5.1,  loss
HOU, .517, 18.2, 22.7, .169,  home,  61.5,  10.3,  5.1, IND,  .528,  16.0,  11.4,  .089,  76.7,  11.2,  9.8,  win
NOP,  .440,  11.0,  27.8,  .230,  away,  50.0,  7.4,  3.8, LAC, .539, 11.9, 16.3, .202,  61.9,  7.4,  4.3,  loss
LAC, .539, 11.9, 16.3, .202,  home,  61.9,  7.4,  4.3, NOP,  .440,  11.0,  27.8,  .230,  50.0,  7.4,  3.8,  win
UTA,  .486,  14.9,  19.4,  .275,  away,  51.6,  9.3,  11.8, LAL, .343, 10.3, 29.1, .146,  51.7,  10.4,  7.5,  win
LAL, .343, 10.3, 29.1, .146,  home,  51.7,  10.4,  7.5, UTA,  .486,  14.9,  19.4,  .275,  51.6,  9.3,  11.8,  loss
BOS,  .460,  14.0,  22.9,  .193,  away,  59.5,  17.2,  5.9, MEM, .393, 17.1, 42.9, .417,  38.7,  8.1,  13.6,  loss
MEM, .393, 17.1, 42.9, .417,  home,  38.7,  8.1,  13.6, BOS,  .460,  14.0,  22.9,  .193,  59.5,  17.2,  5.9,  win
DAL,  .506,  13.1,  28.9,  .195,  away,  55.6,  8.0,  4.8, MIN, .443, 15.3, 28.2, .215,  69.7,  9.1,  3.5,  win
MIN, .443, 15.3, 28.2, .215,  home,  69.7,  9.1,  3.5, DAL,  .506,  13.1,  28.9,  .195,  55.6,  8.0,  4.8,  loss
MIL,  .419,  10.6,  31.1,  .263,  away,  59.4,  8.0,  6.7, NYK, .506, 10.7, 30.0, .179,  64.1,  5.7,  10.4,  loss
