Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, class
DAL, 104, .551, 13.6, 20.5, .215, loss
HOU, 115,.567,6.7,24.3,.157, win
BOS, 112, .500, 13.2, 30.6, .155, win
PHI, 92,.438,19.0,26.5,.157, loss
LAC, 94, .500, 12.7, 16.3, .237, loss
TOR, 112,.566,13.7,22.9,.217, win
MIA, 89, .475, 11.1, 14.0, .148, win
CHI, 84,.426,12.2,23.1,.102, loss
MIN, 107, .512, 9.6, 20.5, .250, loss
CLE, 114,.567,13.3,28.6,.146, win
ATL, 119, .552, 12.6, 24.4, .279, win
DEN, 105,.429,13.0,27.3,.393, loss
SAS, 90, .453, 22.2, 20.5, .311, loss
GSW, 120,.582,17.9,25.6,.247, win
ORL, 102, .523, 17.1, 18.2, .140, loss
MEM, 108,.460,8.3,32.1,.160, win
HOU, 112, .594, 12.7, 17.1, .213, win
NOP, 111,.533,10.5,34.0,.154, loss
CHO, 129, .491, 6.9, 25.4, .191, win
SAC, 128,.566,17.3,23.1,.275, loss
DET, 95, .527, 10.0, 15.9, .213, win
UTA, 92,.453,12.3,25.5,.176, loss
BOS, 116, .539, 9.1, 17.1, .211, win
WAS, 91,.473,18.5,12.2,.267, loss
MIA, 102, .560, 12.1, 14.7, .108, win
BRK, 98,.570,16.5,8.6,.239, loss
LAC, 91, .506, 14.5, 20.0, .154, win
IND, 89,.452,15.4,25.5,.169, loss
DAL, 92, .474, 6.4, 11.4, .263, win
LAL, 90,.453,12.2,21.1,.311, loss
ORL, 100, .494, 10.6, 26.1, .263, loss
MIL, 107,.526,11.7,28.9,.338, win
OKC, 128, .520, 10.4, 32.7, .253, win
NYK, 122,.521,7.7,17.3,.242, loss
PHO, 103, .506, 15.1, 23.3, .229, loss
PHI, 113,.549,10.2,18.6,.296, win
SAC, 97, .459, 11.5, 20.8, .209, loss
POR, 112,.539,10.9,22.2,.167, win
WAS, 89, .436, 10.9, 15.9, .269, loss
TOR, 106,.513,13.9,28.2,.316, win
LAC, 85, .418, 10.5, 18.0, .165, win
ATL, 83,.481,20.5,17.8,.089, loss
DEN, 103, .470, 16.9, 29.2, .286, loss
BOS, 111,.474,9.4,26.4,.208, win
PHO, 93, .529, 21.4, 30.8, .271, loss
CLE, 115,.623,12.9,31.3,.173, win
PHI, 97, .518, 15.2, 23.1, .146, loss
DET, 110,.456,8.5,42.0,.297, win
DAL, 107, .569, 9.8, 19.5, .092, loss
GSW, 127,.667,9.1,21.2,.235, win
OKC, 126, .582, 10.7, 39.5, .220, win
MIN, 123,.583,7.3,27.3,.200, loss
HOU, 99, .438, 13.5, 24.5, .479, loss
SAS, 130,.622,11.6,30.0,.200, win
CHO, 73, .412, 18.9, 11.6, .250, loss
UTA, 102,.568,10.2,18.9,.123, win
ATL, 92, .440, 13.2, 11.4, .229, loss
IND, 111,.545,14.9,27.0,.333, win
CHI, 114, .526, 8.9, 28.6, .147, win
LAL, 91,.429,12.8,22.0,.212, loss
MIL, 83, .373, 13.3, 36.4, .304, loss
MEM, 103,.538,11.0,23.1,.213, win
SAC, 105, .506, 11.7, 10.3, .169, loss
NOP, 114,.490,11.4,25.0,.184, win
NYK, 93, .477, 8.6, 25.5, .115, loss
TOR, 103,.482,9.3,34.9,.247, win
DEN, 117, .562, 13.6, 19.4, .321, win
WAS, 113,.506,12.2,27.3,.273, loss
ORL, 94, .449, 14.8, 19.1, .291, loss
BOS, 113,.558,11.2,20.0,.198, win
BRK, 79, .385, 10.2, 20.4, .244, loss
DAL, 91,.513,12.2,22.7,.113, win
CLE, 114, .524, 6.8, 25.0, .325, win
DET, 106,.518,8.6,19.6,.226, loss
LAL, 93, .468, 16.0, 25.0, .256, loss
LAC, 105,.543,8.0,11.9,.210, win
MIA, 107, .547, 16.2, 22.9, .351, win
MIL, 103,.488,17.1,33.3,.313, loss
