Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT, stl_PCT, blk_PCT, class
SAS, 109, .512, 14.9, 26.8, .259, away, 48.8, 9.0, 7.4, win
DET, 99,.451,10.5,22.4,.187, home, 57.9, 8.0, 2.8, loss
PHO, 97, .449, 15.1, 32.7, .191, away, 66.7, 6.2, 5.5, loss
IND, 116,.582,12.3,21.6,.304, home, 61.0, 13.3, 7.8, win
NOP, 91, .451, 10.2, 25.0, .099, away, 52.6, 2.1, 10.3, loss
LAL, 95,.402,7.3,22.0,.287, home, 50.0, 7.4, 5.9, win
HOU, 107, .545, 13.6, 50.0, .299, away, 63.6, 12.3, 7.4, win
MEM, 91,.507,17.1,35.1,.250, home, 66.7, 11.1, 7.1, loss
CHI, 101, .482, 15.1, 43.5, .224, away, 62.9, 3.3, 10.0, loss
MIL, 106,.478,4.5,27.5,.183, home, 65.1, 12.0, 16.1, win
OKC, 101, .518, 14.8, 19.0, .167, away, 53.8, 10.3, 4.8, win
MIN, 96,.488,16.5,25.0,.210, home, 61.1, 7.2, 9.7, loss
BOS, 114, .541, 8.5, 17.5, .244, away, 59.5, 5.1, 6.6, loss
NYK, 120,.574,10.5,14.6,.333, home, 55.8, 5.1, 8.8, win
IND, 94, .434, 14.6, 27.1, .165, away, 48.6, 11.9, 4.7, loss
BOS, 103,.494,16.1,28.6,.156, home, 60.0, 6.9, 3.3, win
NYK, 104, .489, 11.4, 28.8, .165, away, 46.3, 10.2, 4.3, loss
BRK, 110,.576,14.0,20.0,.128, home, 53.3, 8.2, 4.3, win
ATL, 84, .414, 15.1, 12.2, .210, away, 56.7, 5.1, 9.3, loss
CHO, 107,.518,14.6,26.2,.268, home, 72.2, 8.2, 16.1, win
GSW, 110, .534, 11.8, 16.3, .182, away, 59.5, 9.0, 16.9, loss
DEN, 112,.454,11.2,28.9,.379, home, 59.5, 7.0, 4.8, win
MIN, 104, .513, 18.0, 31.1, .308, away, 69.4, 11.4, 2.2, loss
HOU, 107,.540,14.9,21.6,.347, home, 51.4, 11.4, 4.9, win
MIA, 90, .507, 21.7, 13.2, .271, away, 83.9, 5.1, 10.1, loss
LAC, 104,.484,6.5,18.5,.138, home, 65.0, 18.4, 10.9, win
DAL, 89, .427, 14.7, 16.3, .232, away, 56.3, 7.1, 6.1, loss
OKC, 108,.555,16.0,28.3,.207, home, 63.2, 11.1, 9.8, win
UTA, 85, .461, 14.0, 21.3, .197, away, 64.5, 9.1, 9.7, loss
POR, 99,.506,12.1,37.8,.114, home, 64.1, 8.0, 17.5, win
NOP, 109, .500, 6.3, 23.6, .090, away, 64.3, 10.3, 4.9, win
SAC, 97,.524,16.6,23.8,.107, home, 51.2, 4.1, 10.4, loss
MIL, 101, .535, 23.7, 32.3, .333, away, 60.5, 10.0, 3.5, loss
WAS, 106,.524,14.5,19.6,.214, home, 71.1, 17.9, 6.3, win
LAL, 98, .467, 17.3, 31.4, .156, away, 42.5, 12.7, 5.7, loss
GSW, 116,.576,16.7,27.9,.198, home, 60.5, 11.8, 6.0, win
DET, 101, .618, 20.1, 25.0, .167, away, 48.6, 3.3, 3.3, loss
MEM, 103,.546,14.7,15.6,.263, home, 56.8, 14.1, 7.5, win
TOR, 106, .456, 8.8, 21.6, .267, away, 54.1, 10.6, 14.9, win
ORL, 103,.500,13.0,14.3,.062, home, 63.6, 3.9, 13.6, loss
CHI, 115, .506, 18.5, 42.5, .295, away, 41.5, 8.9, 3.0, win
PHI, 111,.516,10.5,23.4,.161, home, 54.8, 12.9, 7.0, loss
CLE, 95, .524, 16.4, 20.9, .110, away, 39.5, 4.3, 3.0, loss
SAS, 99,.488,10.6,24.4,.217, home, 44.7, 6.5, 12.5, win
SAC, 103, .493, 14.0, 33.3, .405, away, 55.9, 12.6, 4.1, win
UTA, 101,.458,11.7,20.0,.301, home, 34.3, 8.4, 4.8, loss
PHO, 103, .449, 12.1, 18.8, .258, away, 68.6, 8.8, 7.6, loss
BOS, 117,.510,9.9,32.1,.198, home, 71.4, 11.7, 8.1, win
POR, 116, .586, 8.4, 28.6, .075, away, 55.3, 7.6, 7.6, win
BRK, 104,.494,11.0,34.8,.235, home, 57.9, 6.6, 8.6, loss
DAL, 83, .442, 9.6, 16.7, .195, away, 66.7, 1.2, 9.0, win
CHI, 77,.372,8.0,25.0,.151, home, 51.6, 7.1, 3.6, loss
MIA, 98, .519, 12.7, 22.5, .173, away, 65.0, 5.4, 21.7, win
DEN, 95,.449,12.7,15.4,.321, home, 71.9, 4.3, 8.7, loss
CLE, 91, .437, 12.6, 36.2, .172, away, 55.9, 11.0, 12.2, win
HOU, 77,.392,17.2,23.8,.257, home, 57.7, 11.0, 11.5, loss
WAS, 118, .577, 12.8, 37.0, .051, away, 51.0, 8.1, 3.2, win
IND, 104,.494,12.1,14.0,.313, home, 50.0, 9.1, 4.1, loss
ATL, 101, .475, 14.2, 15.2, .060, away, 67.4, 4.7, 10.5, loss
MIL, 108,.432,12.5,36.8,.260, home, 47.5, 8.4, 18.6, win
CHO, 107, .570, 10.8, 9.1, .105, away, 50.0, 1.1, 1.7, loss
NOP, 109,.563,7.9,18.6,.126, home, 67.4, 7.4, 13.7, win
MIN, 93, .429, 11.2, 36.4, .235, away, 44.1, 3.4, 3.0, loss
OKC, 113,.556,5.7,29.3,.157, home, 66.0, 11.3, 9.6, win
BRK, 86, .474, 16.4, 16.7, .154, away, 64.7, 5.3, 6.0, loss
ATL, 114,.608,10.0,14.7,.228, home, 77.3, 14.9, 8.6, win
MIL, 105, .576, 15.2, 21.4, .306, away, 59.0, 3.4, 21.6, win
CHO, 92,.431,4.9,24.5,.195, home, 81.8, 9.1, 3.3, loss
GSW, 95, .415, 10.3, 25.9, .181, away, 52.9, 6.1, 11.5, loss
DET, 113,.505,7.6,34.0,.109, home, 46.8, 8.1, 15.9, win
SAC, 110, .559, 15.8, 22.0, .329, away, 77.8, 5.1, 14.0, win
LAC, 103,.464,9.5,24.6,.146, home, 63.2, 6.1, 7.8, loss
NYK, 95, .487, 8.4, 16.2, .260, away, 57.1, 4.6, 8.3, loss
MEM, 103,.506,7.9,30.2,.244, home, 61.5, 2.3, 8.8, win
POR, 89, .420, 11.8, 17.6, .184, away, 50.0, 6.1, 7.5, loss
PHI, 114,.618,12.7,9.4,.263, home, 64.3, 9.1, 13.8, win
LAL, 82, .394, 12.5, 28.6, .122, away, 51.6, 4.4, 6.8, loss
UTA, 109,.566,9.9,28.2,.181, home, 41.5, 8.9, 11.9, win
BOS, 119, .494, 13.4, 37.8, .364, away, 69.2, 7.1, 4.5, win
WAS, 117,.483,11.0,31.8,.348, home, 62.5, 13.1, 8.5, loss
IND, 126, .640, 13.6, 26.5, .256, away, 56.3, 9.9, 9.2, loss
DEN, 129,.560,13.6,41.5,.297, home, 54.3, 11.8, 6.5, win
HOU, 112, .516, 11.3, 25.0, .198, away, 47.7, 9.9, 7.9, win
LAL, 95,.488,13.4,7.0,.183, home, 67.6, 7.9, 10.0, loss
PHO, 87, .451, 14.0, 21.4, .173, away, 45.7, 5.4, 3.9, loss
MIN, 117,.616,14.8,27.6,.464, home, 59.0, 11.8, 10.6, win
MIA, 74, .444, 19.8, 18.4, .139, away, 40.0, 6.7, 13.6, loss
OKC, 99,.494,13.0,31.0,.136, home, 60.0, 12.4, 13.8, win
DAL, 83, .395, 12.4, 10.0, .235, away, 69.0, 4.0, 8.6, loss
SAS, 112,.494,6.4,13.0,.256, home, 52.4, 7.0, 8.6, win
ORL, 81, .379, 11.9, 20.4, .172, away, 70.0, 11.5, 8.2, loss
ATL, 98,.569,16.8,11.4,.088, home, 75.6, 9.4, 9.2, win
UTA, 119, .495, 8.1, 25.9, .154, away, 61.4, 5.6, 11.5, loss
CHO, 124,.545,13.6,17.1,.318, home, 48.8, 5.6, 6.8, win
GSW, 132, .653, 7.6, 17.6, .247, away, 71.7, 7.4, 3.4, win
